profile,result
"夫妻带女儿一起申请,均为中国国籍.男主申,11年来坡,公立大学master,phd,postdoc,EP,5k+;女,12年来坡,公立大学master,EP,4k+;女儿新加坡出生,
DP.感觉速度还是蛮快的,11月27号拿到信同一天网上变为approve.打开信正文中显示11月22号就approve了.所以总共用了4个月22天吧.

其实可以更快,10月份收到更新父母家人资料的信件通知,但是没有及时查看信箱,补交材料比预期晚了一个星期.从补交完材料到正式approve经过了4个星期.

祝大家好运!
",通过
"来新6年申请，私立本科+公立研究生，IT行业，薪水3k，求好运
",失败
2007年来坡，博伟，中学，ite，poly毕业。SP底薪20002017年1月申请，8月通过。非常理解无奈的心情，拿pr只为了生活稳定。。。,通过
"国内985本科和研究生来新5年，36岁EP，和DP老婆儿子一起申请，家庭月收入10K，老婆持LOC工作。第二次申请7个月后批准。感觉主申请人是独生子女的较难申请。

",通过
男，国内985大学研究生学历，无本地学历，来新4年，已婚，老婆SC。本地国企工作，月薪5K，第二次申请。,通过
"
男，NTUMaster，来新四年，EP,4K+，第二次申请，等待过程中EP已经Renew。依然杯具。",失败
"
男，36,国内本科，来新7年，第二次申请，薪水4800，准备上诉，上诉后悲剧",失败
"2010年初来新加坡求学，就读于新加坡东亚酒店管理学院，高级大专毕业，毕业后酒店实习半年，第一份工作3年半，第二份工作3年。第一次申请，以无所谓的态度，结果申请成功，真不知道该喜还是该忧。
",通过
"男主申36国内二本，澳洲硕士，收入10K+女362000+1儿子1女儿。
双独。申请时来新加坡3年半。其中刚来6个月的时候带全家申请过一次，三月秒拒了。",通过
"马来西亚女生
SPASSHOLDER
来新3年
第二份工作申请
第一次申请
更新下
即将迈入10月份
就是等待第12个月了T.T
希望有好消息
要拒就快可以换新工作。
整整一年FAIL
",失败
"26岁来新近7年私立本科工作五年SP薪水3.3kMNC老公NTU本科PR不过是独立申请没有undersponsor
",通过
"
马来西亚女30，已婚，独立申请。2014来新，IT行业，EP,月薪3500.",通过
"来新两年，Graduatediploma,工作7个月，单身女性，IT行业，第一次申请，求好运。
",失败
"beeninSingaporefor6years,applytogetherwithmyhusband,nokid,EPholder&amp;SPholder,Chinese
bachelordegree,totalincomeS$9000/month,pending6months
",失败
"1.SPholder
2.Degreeholder(GraduatedfromMalaysia)
3.Beensingaporefor5years.
4.Femaleandsingle
5.Firsttimeapply.

Goodlucktoeverybody!

",失败
"NUS本，EP，三月底交的材料，当时有7个月工资单。八月中收到补交父母消息的资料，中间搬了次家。
现在09/20还没出结果...
10/27过了",通过
"MasterdegreefromPolyUandBachelordegreefromHKUST.
2yearsinSG,13KSalarywithDPwifeandnokids
",通过
"
老公PR，带娃申请",通过
本地读的小学，中学，poly。来新12年。3月23号申请，五月中收到补交家庭资料，九月21号批准了，系统9月24号才approved，9月25号就收到信了。,通过
"EP,LCCIDiploma,Msian.等好日子公布结果吗？等等等等，迈入第11个月。求好运。很难过
",失败
"Spassholder,冷气安装员，底薪$2450+佣金。与太太一起申请。太太diploma,文员。朋友一家带小孩申请成功。
",失败
"
Spass四年半后申请老师七个月通过年薪七万左右国内本科毕业
供参考。。。祝好运。。。。
",通过
"NUS本canadamaster工作6个月申请
更新：8月下旬补交父母工作经历
更新：10月2号approved。祝大家好运！
",通过
国内本科新加坡Master工作一年来新2年第一份工3K+现在要换新工作5K+当陪跑群众,失败
"13年大学毕业，14年来小新，第二份工拿SPASS，一年后申请PR.
历时四个月多通过～祝大家好运???

",通过
政府中学中三中四后升入poly，工作3个月转正后申请pr，三个月就收到通过信了。另：现在申请pr不需要工作3个月或6个月后，移民厅的工作人员说有工作了就可以直接递交申请了。,通过
。。。。,通过
"
SM系列NUS本科现在EP申请后等了6个月了还没消息7月21补交父母资料希望能顺利通过9月19号IPA希望大家都好运！",通过
"马来西亚，女，29岁已婚，自己个人申请没带老公，Spass,来新大约9年，LCCIaccounting,职业：AccountExecutive,薪水2500
，第一次申请，等了九个月终于批准。祝大家好运成功！",通过
"申请时来新4年8个月，薪水4k+，建筑行业Spass，第一次申请，pending中；
9月22日查到结果，reject

",失败
"
08年底来新，中学，ITE，Poly，毕业工作7个月申请。希望各路神仙保佑，快快批下来。",通过
"poly+NTU,工作半年申请


",通过
"政府中学中三开始读O水准，poly毕业。工作一年多，月薪2.7K。独生女。七月被要求补交父母资料，历时八个月通过。
",通过
独生子女，父母公务员。工作不到一年，薪水3k，没交过税。带老婆(wp，薪水1k)一起申请。1月申请，只有一个月工资单。6月收到信要求补交父母材料。9月批准，历时8个月。(公立本科),通过
2010来新，Poly毕业后去英国读本，软件工程师，EP，工作六个月，单身，独生子。,通过
"NTUmsc,2010来新加坡，2014年第一次申请，R&amp;D
engineer薪水3600，3个月被拒。2017年3月结婚，老婆是pr，月底就去提交申请，老婆sponsor。4月初收到ica来信要求补交父母信息，随后6月底我换工作，加薪到4500，加上老婆公民批准，用email给ica更新了这两个信息，8月初status变成withdraw，过了一周变回pending，再过了一个多月到9月12号查询，变成approve。有配偶sponsor的话，确实比较容易，没有本地poly或者公立大学degree的同学可以借鉴一下，不然msc拿pr还是挺难的，什么义工，R&amp;D，低于8000的薪水，都是浮云。
",通过
"马来西亚男，90后，poly毕业，持spass在实验室当小咖，月薪2k
××后记××
批了！批了！苦等了8个月，终于批了...
",通过
"单身PR带收养的孩子申请，月薪加奖金大概１万新币吧，历时6个月通过，给需要的作个参考，也祝后面申请的网友好运！Goodluck!
",通过
"男，10年来新读Olevel，11年回国1年，12年到15年NAFA毕业，SPass工作1年后申请，希望快点批保佑保佑！
历时142天，4个半月，感恩，感觉本地学历是最重要的。以后再也不要再来这个网站了，祝大家一切顺利；好运相伴",通过
"
35岁，EP,985本科，来新2.5年，1个儿子，带老婆孩子申请。",通过
女，26岁，未婚。政府中学+poly+NTU。制造业MNC，IT岗。工作半年首次申请，月薪3000+。5.30收到信，补交家庭父母职业资料。九月八号批！等了快七个月了！祝大家好运！,通过
"
sp,工作四年",失败
"老公PR帮我和孩子申请，第一次等了9个月被拒。第2次带女儿再次申请，收到IPA　letter，开心，祝大家好运。
",通过
"来新2年多申请,等待10个月收到结果.大学研究工作4.9k/month,新加坡当地part-time硕士,31岁,初次申请即幸运通过.也祝目前PR申请者好运.
",通过
"申請時EP快要3年IT行業
非本地degree",通过
"2010年来新2012工作，国内本科+私立硕士+公立兼职硕士在读（2018毕业）；
31岁；单身；
SP;5K;Marketingmanager
独生子女，父母情况退休+已故

第二次申请，第一次在2015年，5周reject
第二次申请，人刚一出境系统就reject。。。10周",失败
"来新9年，博士生。32岁第一次申请。月薪7K++.痴等六个月后刚刚renewEP马上就批了:)
",通过
"2013年8月来新，2015年7月第一次申请，2个月后秒拒。今年2月再次申请，等了5个半月，批了，来新刚好4年！条件：单身女，31岁，国内本科，英国硕士，递交申请时月薪约6.5K，后来换工作月薪7.8k。
",通过
"10年来坡localpoly+uni工作六个月申请
1.14-8.18七个月批了谢谢大家
",通过
"
父母都是PR，poly畢業，都在新超過10年。2015年本地出生，爸爸担保申請11个月被拒（爸爸自顾人士，媽媽全职在家），12月媽媽開始上班，找議員寫信遞交工作證明，appeal兩個月後還是悲劇。媽媽持續上班1年后重新媽媽擔保申請。月薪3000
",通过
"Degree在UK大学，在新加坡一年半
",通过
"
SM3学生持EP申请，历时9个月终于过了。希望大家都能pass。",通过
"马来西亚女生来新4年第一份工作wp之后转换spass
第一次申请还在等待希望有好消息。

更新:准证10月到期，7月21号更新准证27号updatedicabyemail，8月5号收到回复说有结果8月7号检查已批准。历时8个月。祝各位好运?",通过
"
来坡6年，BCAAdiploma，SP，月薪2500+，第二次申请，老公是PR，结婚后一个月申请",通过
"第一次申请，EP，国内本科，本地PHD
",失败
"老公来新近13年,PR近10年,RealEstateagent,本人来新近5年,本地私立Degree,做Admin工半年
",通过
"全家15年9月来新，不到两年，从事MRT地铁车辆测试工程师，月薪7k。老婆没有工作。大女儿今年在政府学校读p1，小女儿去年在新加坡出生。
",失败
"
老公担保的，终于批了！谢天谢地?",通过
"来坡4年，独生未婚女，NTU硕士，软件工程师工作经验3年，第二次申请被拒

",失败
全家15年来新，16年申请，带老婆孩子一次性申请。一次性通过。总结想通过的心得是工资稳定、有孩子、老人无移民需求,通过
"
sm系列，七个多月",通过
"男41歲,20089月來新工作,薪資5k,2009及2011單獨申請被拒,2012結婚,家庭薪資8k,2013,全家3人申請被拒,201412月底第四次申請,201511月被拒,2016
3月寫信上訴並更新薪資,20176月中旬ICA來信要求最近半年的薪資跟過去3年稅單,20177月中旬狀態就批准了總共歷時31個月.
",通过
夫妻都是国内211/985本科，第一次申请三个月内秒拒，第二次申请等待近两年终于通过。家庭收入10K。祝还在等待的好运。,通过
"中国人，来新9年。三年前的时候已经做了三年护士，薪水2000,pending四个月被拒。被拒了马上换了工作，后来做和健康行业有关的IT工作，今年开始薪水2400，这次申请pending
五个月现在又被拒了。身边做护士的朋友分别在申请1次，2次，4次后拿到了。读的澳洲护理本科。


",失败
馬來西亞人、女、polydiploma+英國degree、EP、工作六個月後申請PR,通过
"来新4年，夫妻两带一孩子，都是国内本科的，估计没希望，不过反正不要钱。
",失败
小学中学poly毕业工作工资2000,通过
"两人申请，国内大学毕业，EP月薪8K+DP月薪2K，来新两年
",通过
"申请dependentPR，加拿大PhD,NTURF,EP薪水basic4.5K，工作8个月，第一次申请",通过
"
丈夫主申请人，妻子全职太太，儿子3岁，女儿1岁，均新加坡出生，去年10月申请，今年5月底全家获批，此前3次申请悲剧。说说基本情况，丈夫，36岁，EP，月收入7500+，本科毕业后在国内工作了几年，2010年来新加坡国大念硕士，2011年毕业后工作。妻子2013年辞职来新，同年第一次申请悲剧，2014年第一个孩子出生，同年第二次申请悲剧，2015年第三次申请悲剧，2016年第二个孩子出生，同年10月第四次申请，也准备是最后一次申请，做好了悲剧就回国或去其他地方的准备，今年5月底通过。感觉度过了PR申请最黑暗的时期，现在好像开始放松了，但愿后来者更幸运。
",通过
"马来西亚女生,poly毕业,薪水gross1.9k-2k,spass,工作8个月申请,私人医院上班,保佑保佑!
6个月半拿到pr!!好开心！感觉不是看薪水",通过
"来新8年，本地JC+公立本科，单身女性，媒体行业，EP。首次申请。
",通过
大陆985本科。新加坡Msc。工作两年申请。工程师。月薪4000多一点点。老板推荐信。26男未婚。三个月不到秒拒。在我意料中。身边好多类似的case。。。,失败
"女，05年来新，政府中学3年，Poly3年，UK本科3年（有去MOE交担保金推迟TGBond），15年本科毕业回新工作。S-Pass，大公司，会计，Basic2k3,Gross
2k6，工作近7个月申请。之后主动发邮件更新薪资，Basic2K8，Gross
3K。17年5月22号收到ICA邮件更新父母信息，父亲政府单位，如实填写，23号回复ICA，一周后5月30号，PR批准。一共历时12个月零2周。


",通过
"
NUS本科，来新十年，EP月薪3K.中间加薪到4K并更新。4月份ICA发信问是否带妻子一起后把妻子加入，一个月后批准",通过
nusbachelorclassof2016,通过
ntubachelorclassof2016,通过
"
NUS研究生文凭，NTU硕士在读，大陆本科与双学位。13年7月来新，工作两年半后申请，软件工程师，薪水4k，有老板推荐信。单身，男，EP，第一次申请。后续：三个半月被拒了。补充信息，今年28岁，非独生子女，有个大我8岁的哥哥在老家陪父母
",失败
"男薪水4600带老婆2300孩子2岁不知结果如何第三次申请
",失败
"EP来新加坡三年，带一个男孩,老婆新入行幼师（现退出）,第三次申请通过。

",通过
"
11来新NTUMsc第三次申请",通过
"
来新8年多，工作四年多，SIM本科毕业，上市规模公司工作，平均月薪4K+，第三次申请于2016年09月02日递表2017年01月多reject，之后appeal，02月01日改成pending，04月03日再次reject。前后算上appeal共申请4次，现在决定打包回国发展。

",失败
"全家第二次申请，男主43岁，从SP转EP，8.5K，第三国master，申请时来新4年半；女48岁，DP，2.2K，国内中专；男孩13，政府小六。期间补充女方工资，孩子考试奖状和中学就读证明
",通过
"
",通过
"中国PHD，薪水7k，申请1次悲剧，申述1次悲剧
",失败
"
本科，新加坡工作五年半，薪水不到三千.",通过
"
06年来新，政府中学+poly，毕业拿sp，历时135天准准4个半月approved",通过
"本地公民男担保马华人女配偶16年7月ROM12月申请PR
4月15号网上查询结果发现已批",通过
"家庭申请，男带女加一个小孩。国内博士，来新一年半，basicsalary8000。女为NTU在读博士。小孩一岁半，在新读幼儿园...估计会杯具
最后杯具了
",失败
"夫妻EPDP,EP国内本科，DP新加坡硕士。来新6年，无孩，年薪80K。
第四次申请，4个月批。",通过
"本人国内985本科毕业，2016年8月来新，在nus读fulltime
master，9月和老公登记，10月申pr，整整半年通过了。老公是sm3，nus本科毕业，来新7年，工作两年，2016年6月拿到pr，年薪6w5
",通过
"2016年3月24日，一家三口申请，主申请人09年7月开始在新加坡工作，英国master，大陆degree，一直EP，第四次申请，目前世界五百强企业，globalrole，产业巨头。basicsalary
6.5K+，另外还有9%的外国人基金，加起来7k多一个月。annualpackage110K.31岁。太太和儿子在14年六月来新加坡，儿子目前四岁不到，在childcare
centre。太太目前持有LOC工作，月薪2.1k，office工作。申请一个半月后，被要求补充双方父母的资料。10月初收到拒信，10月10日去ICA提交上诉。。。。

2017年3月补交了新的工资单，正常的工资增加，2017年4月6日，approved",通过
"一人单独申，来新2年，金融业，月薪10k，补交父母信息一次，历时1年


",通过
"31岁单身，EP,国外本科，来新1年半申请，历时9个月通过
",通过
"男申请DPR，海外博士，EP来新加坡两个月后申请。女PR已1.5年。
",通过
"EPpass,国内本，坡freshPhD,带妻子（DP)申请，2月份时候因为合同续约了，给ICA发过邮件。申请时男来坡6年，女4年，longterm转的DP.
感恩坡政府，感谢狮城er搭建的平台，特来更新。祝大家早日拿到身份，日子越来越好。
",通过
12年来新，2年半WP，一年半SP，老公去年刚拿到的新公民，结婚两个月就申请了，历时四个月，今天查询approved，太激动了，祝大家好运。,通过
"EP,BasicS$4K+,本科国内985,211,NUSmaster,来新4.75年,工作3.75年,独生子女,Single,4thtimeapp,4threjected.
",失败
ntu本科毕业来新8年，4k+工作一年。,通过
女，大龄单身，EP，国内本科，来新2年，提交前申请了本地公立大学的master（业余）,通过
"2008年3月来新,老公2014年12月来新,2015年8月在马来西亚结婚,2016年9月27日用SP带老公一起申请,还在等消息，已经5个月的等待，希望有好结果。。。
等待是个煎熬...很开心的一次就成功申请，反复检查了几次深怕系统错误，不过几次的结果都是“Approved”。。。现在等待收到信做进一步的过程处理

",通过
"马来西亚，女带丈夫一同申请，只是普通执行员，等了5个月希望有好消息。。。

",通过
"NTUPHD，女生是researchfellow（EP）,带着老公researchfellow（EP）
一起申请，中间ICA给老公打过一次电话问薪水多少，但是没有要payslip，2017年2月6日approve,3月9日拿到IC。祝大家申请顺利~~

",通过
"这是第四次申请了。
夫妻10年来新，国内985，NTU硕士，男主申请人，薪水5k+，女5k，孕期被拒后带着医生开的男娃证明去appeal，还是被拒。真费劲，快绝望了。",失败
毕业工作一个半月后申请，希望不要被拒.希望快点出结果,通过
"感恩，通过了，在phd毕业之前~
老公是pr，我本人现在还是phd在读快要毕业，结婚三个月后申请。祈祷~
",通过
NTU本科，薪水3K+,通过
"25岁，未婚，薪水2.5k媒体工作，马来西亚人，台湾毕业，在新加坡工作两年
",通过
"NTUFulltimeMaster,13年fall来新，base四千。结果意料之中。没想到这么快。

",失败
"男PRSponsor妻子申请，男本地公立大学本科，工作5年。女从国内来坡，补习中心华文老师ROM半年后申请
",通过
来新8-9年，中学政府中学，POLY毕业，工作11个月递申请，五月多一周得到结果,通过
LocalPoly+LocalUni，工作三个月提交申请，建筑项目工程师，basicsalary2600SGD，第一次申请6个月出头即approved，感恩！,通过
"2012年来新，公立大学master，毕业工作于consulting行业，薪资4k左右，第三次申请，依然失败，好难
",失败
全家申请（第一次）；男EP，第三国硕士，来新接近四年，月薪$10K+，非独;女DP，homemaker;两个宝宝，均在坡县出生。老板写了一封热情洋溢的推荐信。,通过
"本地JC,NUS本科毕业，来新加坡7年+，工作半年申请，不到6个月收到IPA.非常幸运！希望大家新年有好运！
",通过
"中国人，本地JC,NUS本科毕业，工作半年申请，大年初二网上批准
",通过
"6月ROM，老公PRsponsor。11年底来坡，985本科，NTUMsc，工作3年，EP，薪水$3.5k。9月份补过一次父母和兄弟姐妹材料。

",通过
"
夫妻ep带小孩，小孩在新出生?，来新4年，第二次申请
",通过
"年龄30，09年来新，985本科，NTUmaster,在新时间master1年，工作6年，共7年。第三次申请。薪水7k+。",失败
来新十年，NUS本科毕业，本地公司工作8个月申请,通过
"$4000,EP,本地PhD毕业6个月,8月初补交父母材料（要求在两周之内补齐，但邮戳显示这信过了一周才寄出来，差点没赶上）。求好运！",通过
"夫妻国内985本科，男12年来坡，13年NTUMsc毕业，IT工作3年多4k+，女12年来坡，13年NUSMsc毕业，3k+,希望早点拿到吧。///准备回家！
",失败
"EP,BasicS$4K+,本科国内985,211,NUSmaster,来新4年,工作3年,独生子女,Single,3rdtimeapp.
被拒收材料，说是距离上次被拒不到6个月，只能appeal..
",失败
"Nationality:Malaysian
Sex:Male
Age:26yearsold
Qualifications:
1.BachelorHonsEngineering(Non-SG)
3.MasterscienceEngineering(NUS)
DurationinSG:2years
Salary:SGD3000
FamilymembersallstayinSingapore


",通过
"
来新加坡14年，2002来新，小中学都在这边，poly毕业拿SP准证工作了一年整申请PR,公司不给写我的资料，不过我照样提交，每想到3个月就下来了。四面佛保佑，要去泰国还神了！！！！",通过
"单身女子，35岁，来自马来西亚。澳洲多媒体设计学士，新加坡南洋理工大学资讯学硕士。硕士毕业以后曾获邀申请PR但没接受。五年前来新从事教育工作，是半个公务员。一直都是EP，月薪5K＋。等了将近7个月，PR获批。

",通过
"DPR,Malsysian,09年来新，LG拿到PR1个月我就提交材料，等了13个月通过

",通过
"
NTUPhD，刚工作一个半月就提交了申请。老婆已经是PR，所以是以EPholder身份申请，工资6K+，顺利通过。",通过
"女本地poly+8年新加坡+PR一年半+政府医院护士+Basic2,900Sponsor男国内211+4年9个月新加坡+SP+Oil&amp;GasEngineer+Basic2,900.
5月下旬ROM6月上旬申请。静静的等着。。。
",通过
"couple，来新5年多，男NTU博士，外企工作，EP，5K+，女，NTU硕士，NTU工作，3K+
",通过
"GF月薪7000失败
",失败
"男带女一岁宝宝申请，半导体行业，国内211本科，来新五年，薪水4.5K，SP。女国内985硕士，来新3年，4K，SP。三个月秒拒。好难过

",失败
工作接近一年后去申请，薪资3k＋，用了7个月批准了～:)专业是机械工程师,通过
"老婆申请dpr。老公08年来新，国内本科，NTU硕士，pr6年,basic
5000+。老婆11年来新，国内TOP3大学本科，申请时NUS博士在读。结婚两个多月申请。7月份毕业，还没UPDATE学位证，也没工作，就正好收到PR通过的信了。",通过
"来新5年多，ntu毕业phd一枚，毕业后拿EP做postodoc，工资4k+,工作8个月后申请，等了5个多月终于被批准


",通过
"DPR,老公担保申请。两个人都是27岁。老公：PR不到两年，NTU本科毕业，SMUpart-time在读master,薪水basic4000,大公司。来新快9年。后来单独申请SC(已经批准)。本人:
国内二本毕业，薪水2200，SP，申请时候来新两年半。ROM一个月之后申请的，历时了13个半月才批准",通过
"国内985本科，12年来坡NTUMSC,13年工作
14年结婚，老婆也是NTUmaster,第一次申请，3个月秒拒。第二次申请，pending15个月要求补家庭信息，10天后网查approved

",通过
"本地PHD男，单人申，工资4000+，交申请后一个月被要求补交材料
",通过
"
马来西亚男30岁，Spass，wp11年，来新12年薪水2000+，ITEparttimehighernitec文凭,已超过6个月还没消息。希望有好消息，因为材料准备和申请程序很麻烦",失败
"SM3，独生子，薪水3K，等了近6个月终于批了，祝大家好运

",通过
"
来新11年中学ITEpoly2015年毕业，等了三个月零十九天上帝保佑终于批了",通过
"老公prsponsor，本人在读博士，均来新八年

",通过
第一次申请，马来西亚籍，马来西亚学士毕业。2014年12月来新，拿wp，1月末辞职。2015年3月末新工作，金融业，EP，底薪2K，全部不到2.3k。,通过
"国内top2MD，medicalofficer,salary7k＋，2014.7来新，单身女，第一次申请",通过
"家庭申请，男主申，NTUPHD，EP，4k+,工作一年，中间ICA发信要交PHD学位证，7月底convocation拿到才补交上。女，NTU　PHD，交论文未答辩，继续在学校做RA，SP，不到4k.
男孩，三岁多，新加坡出生。
P.S.，刚准备换工作，MOM前几天刚批了新的EP，换家大公司。觉得他们内部系统绝对是连着了，过几天这边就更新状态了。",通过
"
",通过
12年来新，两年WP，后来换工作，SP，申请时2900+，SP一年多，pending过程中加薪两次，结婚，补交父母信息，然后通过,通过
"馬來西工人,工作7年，workpermit6.5年,EP3个月,第一份工作,Marineservice,CETdiploma,basic2.4K,annualincome39.5K
",通过
"SPass,Malaysian.
",通过
"2007.9来新加坡读OLevel,2009.4-2012.4读SingaporePoly,之后去英国2年。2014.7回新加坡读master.2015.8开始在新加坡工作。政府工,薪水4k+.

一直忘记查了。。8.5回家收到了信发现通过啦哈哈囧
",通过
"
2yearsS-passholder,Monthlypay3550.Husband(alsoPR)sponsors.Approvedjustbeforemylastday.so
lucky!",通过
"来新8年，'O'Level1年，poly毕业，工作4年工资3.5K
求好运！
",通过
"EP,Basic5K+,NTUmaster,来新四年工作三年,第一次申请，三个月20天被拒。",失败
"马华男，32岁，SeniorFinanceExe,EP,Basic$3100,私立大学DegreeinAcc&amp;Fin(PartTime),历时八个月
",通过
"本人國內211本科,老婆國內master,夫妻申請,家庭月收入8k+,均從事半導體行業,SPholder.來新4年,第一次申請.

",失败
"国内一线城市户口工学学士单身来新5年独生子女第四次申请年薪120K。
",通过
国内211+985硕士，来新七年。申请时薪资不到8K。年龄37岁。带老婆和一儿一女，女儿三岁儿子六岁，老婆没工作。希望大家都有好运气,通过
NUS本科毕业。毕业之后在半导体公司上班，月薪3500.1年4个月终于批了...,通过
"马劳，单独来新1.5年，SPM文凭，SPASS,工厂Operator，历时9个月

",通过
"27马来西亚人2.3k++EP新加坡工作3年半学士学位
",通过
"poly毕业，薪水2.3k

",通过
"Poly毕业，工作7个月，S-pass，2.6k
在台湾旅行的时候看到被批准了，太开心！
",通过
"MalaysiaMale29yearsold,第三次申请。
来新工作3years++，EPHolder。
薪水4K++SGD。
在MNCIT工作。
最近补交资料
-新加坡ROMCertificate
-太太资料（PR）
-薪水单
",通过
"SM3，NTU，本地小公司，历经6个月，其中补交一次工资单，通过
",通过
"Chinesenational
S-pass
DiplomafromSingaporePolytechnic
2-yearSecondaryschool",通过
"
22岁，来新8年，政府中学+poly，工作半年后递交申请，spassbasic2200，历时6个多月",通过
"
22岁，来新8年，政府中学+poly，工作半年后递交申请，spassbasic2200，历时6个多月",通过
"MScandBEngfromHKGovernmentUniversity
&gt;8KandworkedinSingaporefor~3years
",失败
"MSC，新加坡工作&gt;2年，經理職，收入4000+,第二次申請
",失败
"单身女新加披私立大学毕业之后去英国读master毕业后回新工作
拿ＳＰ一年后更新EP　申请时工作ＥＰ三个月　薪水３６００.　

各种求好运。。想要拿到ＰＲ后光速离职。。。哈哈


",失败
"SP,2009年来新。等了足足9个月才来拒绝,我的天啊,干脆3个月就拒呗",失败
"poly毕业，历时4个月多。在新加坡呆了差不多10年了
",通过
"先生主申请人。月薪11K+，来新5年多。本人第二次申请，（第一次是一个人申请）。Spass，月薪2700，本地私立本科毕业。来新快8年。

希望好运。
",失败
"本人申请DPR,来新6年，私立master毕业，工作4年多，做技术支持，月薪2900.老公SC,一间小公司的financemanager,gross5700sgd.2016年1月注册，2月申请PR.
",通过
"來新6年,國內211master,月薪6.7K,帶妻子和寶寶一起申請,妻子也是國內master,寶寶一歲半.
",失败
"
pass!!11年来新，12年进poly,15年毕业拿spass2.2k,求好运！
",通过
"15年poly毕业2.5k来新10年自己申请
",通过
"
POLY毕业，交了两个月薪水单后又补交了四个月薪水单，没有公司信。五个月通过，感谢观音菩萨保佑
",通过
poly毕业，没公司信。,通过
"EP,BasicS$4K,本科国内985,211,NUSmaster,来新4年,工作3年,独生子女,Single,2ndtimerejected.",失败
"
等了15个月，感谢主。愿大家也在耐心等待后有好结果。2010来新，大学4年，工作2年ep，未婚。",通过
"Master,female,single,10k+,sg5years
",失败
"本地phd，09年来新，单身男
",通过
"
女，PR，政府医院做工，男，持DP，工程师，月3000左右，由女方担保申请，4个月1天批准",通过
"马来西亚男，Spassholder，basic2500,在新工作4年，父母双pr。Approved了，感恩！
",通过
"2010年poly毕业，毕业后在英国读master。14年回新，工作与poly专业对口。提交申请后在新结婚，3月7日来信补交结婚证(老婆15年8月拿到pr)。pending7个多月终于approved。
",通过
"
夫妻两人，男主申，NUSPHD，来新六年，现为博后；女副申，NTURA，合同较长。交材料一个多月后即收到ICA要求补交父母材料信息，又等了两个多月通过。",通过
"28岁，单身，澳洲的本科和硕士，在新加坡考了个acca，2012年来新工作，没换过公司，申请时3.5，后来用邮件交了加薪到4.5的工资单。申请的时候老板还给我写了一个supportingletter.
",通过
"国内985本科NTUPhD刚交论文
MNC4.5K/Month
EPholder
工作五个月提交/三个半月应该算秒拒了吧，看来得等拿到毕业证先",失败
"男,单身,2015Poly毕业,来新7年,6个月工资单,Basic2200,pending4个半月Approved,Finally...",通过
Poly毕业Basic2200在新10来年小公司,通过
"
testtest",通过
"POLY毕业在大公司工作因为quota问题之前拿了一年WP,换成SP后马上申请PR,pending九个月时写email问进展,2月收到补交父母的信，但SB房东3月才给我，
去ICA补交并写了解释信，四月终于批下，等了整整1年。FK
",通过
NUS本科，美国PhD。回新工作8个月后申请。Pending11个月终于批准。,通过
"本地工科Phd，国内本科+Master，在新5.5+年，女，单身，博后research工作，拿EP，薪水5k+，已经pending快7个半月，没有任何消息，等了好长时间，在这里更新祈祷一下，希望能过。加油加油。
更新一下：
4月11号查，刚刚通过，2010年来新，从交材料到approved，共历时近八个月，第一次申请，申请时已毕业在学校继续工作近一年，参加convocation拿到学校发的正式PhDdegree后才申请，当时只交了基本申请表格和两个向福利机构捐款单，未补充什么材料，希望能给大家一个参考，也祝大家能有好运。
",通过
"男主申：NTUPhD，申请时在新四年+、工作五个月，薪资6k，第一次申请。女副申：NTUMaster，申请时在新三年+、工作两年多，薪资3.7k+，第二次申请(独立申请过一次)。两人均国内本。整6个月时获批。
",通过
"
单身女，政府工，薪资3600，工作四年多，第一次申请，通过",通过
"国内top2本科，2009年来新，一直是EPholder，第一次申请，basic11kgross15k
某投资银行",失败
"2012来坡，公立Master毕业，政府consulting行业，第二次申请，月薪小于4k，2月末被叫去interview，问了很多生活工作相关问题，以为很有希望，结果被庙拒，略桑心，准备上诉一下
",失败
2003年来新，私立本科毕业，EP，薪水后来涨到5200，做人力资源的,失败
1991年，单身，女，来新六年，新加坡私立大学毕业英国文凭3年本科，第一次工作七八个月申请，三个月被拒，EP薪水3300.第二次申请又三个月被拒，更新薪水3400.,失败
"
老婆SC，NUS，薪水3.6k，担保申请！本人无本地学历，有做工，薪水4k！1月22号来信让补过去五年的工作和薪水，2月2日递交！",通过
2015年5月poly毕业，4月参加工作持SP.,通过
"08年来新加坡读政府中学
大专毕业工作一年
月薪$2500
",失败
"EP,BasicS$3.7K,本科国内985,211,NUSmaster,来新2.5年,工作1.5年,独生子女,Single,firsttimeapp.",失败
"这是第四次自己申请，中间有一次是老公是主申请人。还有申请过两次longtermvisitpass都没下来。08年来新，薪水2500
现在的SPass下个月到期。。。。。公司没有renew不知会怎样。。。。。。
20Mar2016发Email问ICA,22Mar2016上网查发现Reject",失败
"Poly+SPass+底薪2200+6个月工资单
",通过
"
PhD5Y+research$5,500Approved",通过
"09年来新，Poly毕业，六个月工资单申请，pending近十个月，过了
",通过
"夫妻医生独立申请，北大毕业，申请时工作1年9个月，中途ica建议改为家庭申请，重新填表。通过时totallyworked2yearsand4months
",通过
"女带男夫妻申请，女国内985本科硕士，男985本科，女ntuRAEP4年，parttimephd在读4年，男来新半年smumaster在读。第3次申请，前两次女单独申请被拒。
",失败
"馬來西亞人，單身。台灣大學室內設計Diploma畢業，來新工作3年，一開始拿EP。申請第二次才通過。
",通过
